1A0C;EA5RM;2019-07
3B7A;F5CWU;2018-04
3B8/OK1BIL;OK1BIL;2018-11
3B8/OK2ZI;OK2ZI;2018-08
3B8CW;N4GNR;2019-01
3B8MB;IW3HVB;2018-04
3B8VB;UA4WHX;2019-01
3B8XF;G3TXF;2018-03
3B9RUN;EA7FTR;2018-05
3B9VB;UA4WHX;2019-01
3C0W;YL2GN;2018-03
3C3W;YL2GN;2018-02
3D2/KD7WPJ;KD7WPJ;2019-05
3D2AD;YT1AD;2019-01
3D2AR;HA0NAR;2018-12
3D2AS;M0OXO;2019-04
3D2AZ;KD7WPJ;2019-05
3D2DJ;JA1IST;2018-02
3D2EU;DK2AMM;2018-02
3D2FD;N2ZN;2018-07
3D2GE;OE3GEA;2018-02
3D2JS;WB2JTO;2018-01
3D2TS;FK1TS;2019-10
3D2VR;DD0VR;2019-09
3DA0AO;HA5AO;2018-09
3E1FD;HP1RCP;2019-08
3E1JT;HP1ALX;2018-10
3E3E;AC2OV;2019-06
3F6IC;HP1AVS;2018-05
3G3G;EA5GL;2019-07
3G3N;CE3NR;2019-03
3G3W;XQ4CW;2019-03
3G4NU;CE4CNU;2018-09
3G5A;CE5JTC;2019-01
3G9A/MM;N2OO;2018-02
3V8CB;LX1NO;2019-08
3V8CQ;EI9FBB;2018-01
3V8SF;LX1NO;2018-10
3V8SS;LX1NO;2019-07
3W1T;XV1X;2018-12
3W2TXR;JA2TXR;2018-03
3W3B;E21EIC;2019-08
3W9A;KU1CW;2019-10
3W9CI;RM0F;2018-03
3W9CJ;JA1DXA;2019-02
3W9CJ;JE1STF;2019-02
3W9CQ;EA5BCQ;2018-07
3W9DLE;W0DLE;2018-02
3W9JF;EA5GL;2019-02
3W9JK;SP5APW;2018-09
3W9JK/P;SP5APW;2018-09
3W9KJ;SP5APW;2019-09
3W9KW;DK8KW;2019-10
3W9ND;LZ1COM;2019-01
3W9NH;JA0JHQ;2018-06
3W9QR;JJ1DQR;2019-10
3Y0Z;N2OO;2018-02
3Z0BLY;SP2PMW;2018-07
3Z0HDE;SQ8W;2018-03
3Z0I;SP7PTM;2018-05
3Z0R;SP9SX;2019-08
3Z0TECH;3Z6AEF;2019-09
3Z100I;SP9YGD;2018-10
3Z100K;SP7CVW;2018-02
3Z100M;SP6IEQ;2018-10
3Z100N;SP5UHW;2018-01
3Z100N;SP7PCA;2018-10
3Z100POL;SP6PZG;2018-10
3Z100PW;SP3POW;2019-01
3Z100ZHP;SP9KGC;2018-09
3Z15UE;SP6ZJP;2019-06
3Z18HNY;SP6IEQ;2018-01
3Z18MPS;SP1PMY;2019-06
3Z1918N;SP6ZJP;2018-05
3Z1919PS;SP9PNB;2019-08
3Z1ESH;SP2PBY;2018-03
3Z1OD;SP1PBT;2019-05
3Z25RE;SP5DZC;2018-04
3Z50DVP;SP6DVP;2019-10
3Z50GR;SP9GR;2019-10
3Z50KP;SP5KP;2019-09
3Z70I;SP5PDB;2018-05
3Z70ISRAEL;SP5PDB;2018-05
3Z80OWG;SP9PSB;2019-09
3Z9M;SQ9UM;2019-10
4B4B;XE1B;2018-02
4D3X;W3HNK;2019-03
4E1A;9V1KG;2019-10
4E1CVB/4;JA1PBV;2018-12
4E1FJE;JN3VQM;2019-08
4E8T;M0OXO;2019-04
4H1K;DU1KIR;2018-03
4J100A;4J5A;2018-04
4J100RO;4K4K;2018-03
4J28MAY;4J5A;2018-03
4J4K;4K4K;2019-06
4JT0SFR;4K4K;2018-02
4JT5A;4J5A;2019-02
4K/DL7ZM;AD0PY;2018-06
4K100K;4K4K;2018-04
4K100W;DL6KVA;2018-02
4K28MAY;4K4K;2018-02
4K6AG;DC9RI;2019-01
4K6FO;DC9RI;2019-10
4K6MAR;EA5GL;2019-06
4K6N;RW6HS;2019-08
4K7Z;RU3SD;2018-10
4KT4K;4K4K;2019-02
4L/DL7ZM;AD0PY;2019-07
4L/F5RAV;F5RAV;2019-03
4L/G4ENL;N4GNR;2019-08
4L/LY4ZZ;LY4ZZ;2019-10
4L/R1CC;DJ1ND;2018-09
4L/SP9DLM;SP9DLM;2019-07
4L/TA7AOF;TA7AOF;2018-02
4L/TA7AZC;TA7AZC;2018-02
4L0G;EA7FTR;2019-02
4L0ONY;DL7CM;2018-05
4L1R;W3HNK;2018-12
4L2M;EA7FTR;2019-08
4L5P;UT7QF;2019-07
4L6QL;RW6HS;2019-07
4L6QR;RW6HS;2018-12
4L8A;K1BV;2019-07
4L9M;R3XA;2019-10
4L9S;OE1ZKC;2019-05
4M6R;EA5GL;2018-03
4O/E73A;9A2AA;2018-09
4O/E77DX;E77E;2019-07
4O/US7IM;US7IM;2019-06
4O1KZL;OK1KZL;2018-04
4O1KZL;OK3DV;2019-10
4O1YCP;4O1HQ;2018-10
4O2YCP;4O1HQ;2018-10
4O4T;YU4DPR;2019-10
4O4YCP;4O1HQ;2018-10
4O7CC;UA4CC;2019-09
4O7TC;UA3TCJ;2019-10
4S7DMG;SP9DLM;2018-08
4S7IGG;LZ1PJ;2018-03
4S7KCG;JH3KCW;2018-04
4S7NHG;LZ1NK;2018-02
4S7NKG;LZ1NK;2018-02
4S7RO;DJ9ZB;2018-09
4S7UJG;JA3UJR;2018-04
4S7VK;DJ9ZB;2019-03
4S7YSG;JA2SWH;2019-08
4T18PAX;OA4O;2018-01
4T4O;OA4O;2019-04
4U0R;UA3DX;2018-02
4U13FEB;9A2AA;2018-02
4U18FIFA;UA3DX;2018-06
4U1A;UA3DX;2019-07
4U1UN;HB9BOU;2018-09
4U1WB;KK4HD;2019-08
4U1XMAS;UA3DX;2018-12
4U25B;9A2AA;2019-10
4U29MAY;9A2AA;2018-05
4U2U;UA3DX;2019-10
4U500M;UA3DX;2019-09
4U73B;9A2AA;2018-10
4U80FOC;S57DX;2018-05
