NY-QSO-PARTY|New York QSO Party
OCEANIA-DX-CW|Oceania DX Contest (CW)
OCEANIA-DX-SSB|Oceania DX Contest (SSB)
OH-QSO-PARTY|Ohio QSO Party
OK-DX-RTTY|Czech Radio Club OK DX Contest
OK-OM-DX|Czech Radio Club OK-OM DX Contest
OK-QSO-PARTY|Oklahoma QSO Party
OMISS-QSO-PARTY|Old Man International Sideband Society QSO Party
ON-QSO-PARTY|Ontario QSO Party
OR-QSO-PARTY|Oregon QSO Party
PA-QSO-PARTY|Pennsylvania QSO Party
PACC|Dutch PACC Contest
PSK-DEATHMATCH|MDXA PSK DeathMatch (2005-2010)
QC-QSO-PARTY|Quebec QSO Party
RAC|Canadian Amateur Radio Society Contest
RAC-CANADA-DAY|RAC Canada Day Contest
RAC-CANADA-WINTER|RAC Canada Winter Contest
RDAC|Russian District Award Contest
RDXC|Russian DX Contest
REF-160M|Reseau des Emetteurs Francais 160m Contest
REF-CW|Reseau des Emetteurs Francais Contest (CW)
REF-SSB|Reseau des Emetteurs Francais Contest (SSB)
REP-PORTUGAL-DAY-HF|Rede dos Emissores Portugueses Portugal Day HF Contest
RI-QSO-PARTY|Rhode Island QSO Party
RSGB-160|1.8MHz Contest
RSGB-21/28-CW|21/28 MHz Contest (CW)
RSGB-21/28-SSB|21/28 MHz Contest (SSB)
RSGB-80M-CC|80m Club Championships
RSGB-AFS-CW|Affiliated Societies Team Contest (CW)
RSGB-AFS-SSB|Affiliated Societies Team Contest (SSB)
RSGB-CLUB-CALLS|Club Calls
RSGB-COMMONWEALTH|Commonwealth Contest
RSGB-IOTA|IOTA Contest
RSGB-LOW-POWER|Low Power Field Day
RSGB-NFD|National Field Day
RSGB-ROPOCO|RoPoCo
RSGB-SSB-FD|SSB Field Day
RUSSIAN-RTTY|Russian Radio RTTY Worldwide Contest
SAC-CW|Scandinavian Activity Contest (CW)
SAC-SSB|Scandinavian Activity Contest (SSB)
SARTG-RTTY|SARTG WW RTTY
SC-QSO-PARTY|South Carolina QSO Party
SCC-RTTY|SCC RTTY Championship
SD-QSO-PARTY|South Dakota QSO Party
SMP-AUG|SSA Portabeltest
SMP-MAY|SSA Portabeltest
SP-DX-RTTY|PRC SPDX Contest (RTTY)
SPAR-WINTER-FD|SPAR Winter Field Day
SPDXContest|SP DX Contest
SPRING SPRINT|FISTS Spring Sprint
SR-MARATHON|Scottish-Russian Marathon
STEW-PERRY|Stew Perry Topband Distance Challenge
SUMMER SPRINT|FISTS Summer Sprint
TARA-GRID-DIP|TARA Grid Dip PSK-RTTY Shindig
TARA-RTTY|TARA RTTY Mêlée
TARA-RUMBLE|TARA Rumble PSK Contest
TARA-SKIRMISH|TARA Skirmish Digital Prefix Contest
TEN-RTTY|Ten-Meter RTTY Contest (before 2011)
TMC-RTTY|The Makrothen Contest
TN-QSO-PARTY|Tennessee QSO Party
TX-QSO-PARTY|Texas QSO Party
UBA-DX-CW|UBA Contest (CW)
UBA-DX-SSB|UBA Contest (SSB)
UK-DX-BPSK63|European PSK Club BPSK63 Contest
UK-DX-RTTY|UK DX RTTY Contest
UKR-CHAMP-RTTY|Open Ukraine RTTY Championship
UKRAINIAN DX|Ukrainian DX
UKSMG-6M-MARATHON|UKSMG 6m Marathon
UKSMG-SUMMER-ES|UKSMG Summer Es Contest
URE-DX|Ukrainian DX Contest
US-COUNTIES-QSO|Mobile Amateur Awards Club
UT-QSO-PARTY|Utah QSO Party
VA-QSO-PARTY|Virginia QSO Party
VENEZ-IND-DAY|RCV Venezuelan Independence Day Contest
VIRGINIA QSO PARTY|Virginia QSO Party
VOLTA-RTTY|Alessandro Volta RTTY DX Contest
WA-QSO-PARTY|Washington QSO Party
WI-QSO-PARTY|Wisconsin QSO Party
WIA-HARRY ANGEL|WIA Harry Angel Memorial 80m Sprint
WIA-JMMFD|WIA John Moyle Memorial Field Day
WIA-OCDX|WIA Oceania DX (OCDX) Contest
WIA-REMEMBRANCE|WIA Remembrance Day
WIA-ROSS HULL|WIA Ross Hull Memorial VHF/UHF Contest
WIA-TRANS TASMAN|WIA Trans Tasman Low Bands Challenge
WIA-VHF/UHF FD|WIA VHF UHF Field Days
WIA-VK SHIRES|WIA VK Shires
WINTER SPRINT|FISTS Winter Sprint
WV-QSO-PARTY|West Virginia QSO Party
WY-QSO-PARTY|Wyoming QSO Party
XE-INTL-RTTY|Mexico International Contest (RTTY)
YOHFDX|YODX HF contest
YUDXC|YU DX Contest
