ARMI
Asociazione Radioamatori Marinai Italiani
IZ8IYX;352
IT9QPZ;353
IZ7LFR;354
IZ6ASI;355
IZ7FLP;356
IK1RKN;357
IW9DBE;A/358
IW9HDM;A/359
IZ8IZA;360
IZ7NDH;361
IZ6MPZ;362
IZ0MXW;363
I6PMV;364
CT1CZT;A/365
CT1EGH;A/366
IZ4AGI;A/367
IZ6FUQ;A/368
SV5DKL;A/369
HE9SOL;A/370
I2WEQ;A/371
I1UMK;372
I1NVW;A/373
IK1MDF;A/374
IW0GBU;375
IZ0INZ;376
IW0HOQ;A/377
IZ0IVZ;A/378
IS0YHV;A/379
IN3UFW;A/380
IZ1LHE;381
IZ0GXD;A/382
DL0ITU;A/383
I1QOD;384
CS5NRA;A/385
IZ0IMR;A/387
IZ5MXZ;388
F6BNM;A/389
IW9ESK;390
IK0QDI;A/392
IW8RRB;A/394
IK2UCF;396
2E0RPS;397
IZ2GIL;A/398
I2FGT;399
IY1SP;400
IW2NUY;A/401
IW7CFO;402
IZ0HPX;403
I1CMA;A/404
IZ5MMK;A/405
I7IJU;406
IK3RBT;407
IW7AUH;408
IT9DQM;A/409
IQ7TA;A/410
IK7BPV;411
IK7GIM;A/412
IK1FXX;414
IW1FGY;415
IW5EEC;A/416
R5GM;A/417
IZ0EHW;A/418
I0SNA;419
I6VDB;420
IK7MJA;421
IK6BGJ;422
DF4BV;A/424
OH1NAVY;A/425
LY2MM;A/426
IZ4GAC;A/427
SV1HEM;A/428
IZ7SGV;429
IZ7NRJ;430
IW3IBF;431
IZ6FZS;A/432
IK7ARK;433
IW7CIV;A/434
IZ7MSJ;435
IZ7NTJ;436
IS0UWS;A/438
IK1AAS;A/439
IZ7OJL;441
IS0MMM;442
IS0RVH;443
IW1PRT;A/444
IK2OFR;A/446
IZ3NVC;447
IK0UAG;448
IT9CPV;A/449
II1ICS;450
IT9HUV;451
IZ0DZM;A/452
I6CAD;453
I1DWD;454
IQ2MI;A/455
IT9IJI;456
IW6PEN;457
IT9VIH;458
IZ7NPH;459
IS0MLS;A/460
IS0FQK;461
IT9ENJ;462
IS0PEV;A/464
IZ0MJH;A/465
IZ5OWZ;466
IZ1BZV;A/467
IZ1MHQ;A/468
I1ULJ;A/469
IT9PBR;470
IZ1MHY;A/471
IK7FBK;472
IK1SLO;473
IZ5KBK;A/474
IK7EOT;475
IZ0AMM;477
IK3OGI;478
IK1ZFO;A/479
IZ3NYS;480
I0YQX;A/481
S53EO;A/483
IZ8NXG;A/484
IW3IMF;A/485
IZ1PNY;486
IW3GTM;487
IK2SON;A/488
IZ2HDJ;A/489
IK0IXI;A/490
IW9HMQ;A/492
IZ1PIO;493
IT9LYF;A/494
IK1OOG;495
IZ8PPI;496
I1YRL;497
IK7EJT;498
I8MTQ;499
II0IDP;500
IZ8OGK;501
DL5OCC;A/502
IZ4HXT;A/503
IW0HAQ;504
IQ4VU;A/505
IZ7AVR;A/506
IZ2QGJ;507
IT9RRU;508
IW5EJP;510
IZ0PAU;511
IZ2HAN;512
IT9AWC;513
IZ8QNX;514
IZ0OVZ;516
IZ8OFO;A/517
IZ3AWW;518
IT9NVA;519
IT9NCO;A/520
IK8SOL;A/521
IK0VSV;A/522
IT9APJ;523
IZ7QFX;524
IZ0JOY;A/525
IZ5QFV;526
IS0ISJ;A/527
IS0EUJ;A/528
IW9GUQ;529
IZ0RGA;530
I5OYY;A/531
IW5CEE;A/532
CT5JZX;A/533
IW2CNR;A/534
IK0PRH;535
IK0PHU;A/536
IK7OFI;537
IZ1HBX;538
IN3EAV;A/539
IW8FEI;540
IZ0CHJ;A/541
S52MZ;A/542
DL1HRN;A/543
HB9DOT;A/544
IZ1RNB;546
IZ2KTD;A/547
IW0URG;A/548
IW0HOP;A/549
II0IGU;550
I1PIK;551
IK0LZR;A/552
IS0UNG;A/553
IS0VSU;A/554
IS0BMU;555
IZ3KVD;A/556
IS0SZU;557
IZ4RTB;558
IS0AEL;A/559
IS0JMA;560
IS0ILP;A/561
IW0UWL;A/562
IS0BGL;563
IZ0RIV;564
IZ4BQV;565
IZ1PMC;A/566
I5BYL;567
IT9ECQ;A/568
IS0TOU;A/569
IS0UOI;A/570
IT9KKE;A/571
IT9JZK;A/572
IZ6OVE;A/573
IT9GDS;574
IT9JUP;575
IZ3QLR;576
IW6CIE;A/577
IW5ELA;579
IW8RUD;A/580
IZ1GZH;581
IW1RIE;A/582
IW1RID;A/583
IZ1FGW;A/584
I1RHL;A/585
IZ1GZU;A/586
IK3YBX;A/587
IK3RET;A/588
IK3ITV;A/589
IQ0FM;A/590
IZ3APL;A/591
IK3HMBA/592
IW2JSX;A/593
IK3SSW;A/594
I5OBQ;595
IK1NPP;596
IZ5HEV;597
IW9GTD;598
IW1RMV;599
II7ICT;600
IS0FDW;A/601
IW4CXK;A/602
IK6TOT;A/603
IK6TIL;604
IT9SKH;A/605
IW9CTJ;606
IZ1DXV;A/607
I1FEQ;608
IK1CCS;609
IZ1GWQ;610
IS0UTA;611
IT9BUW;A/612
IK2NUX;613
IK6NUA;614
IW3INQ;615
IZ1RFV;A/616
IW6CJM;A/617
IT9LWP;A/618
IT9GQO;A/619
IM0GNF;621
IK6TOS;622
IM0QMA;623
IZ3QHB;A/624
IZ3ODB;A/625
IW3IFZ;A/626
IZ3ASA;A/627
IZ7QEB;628
IW1PEL;A/630
I2RGV;632
IT9DSA;633
IT9QQO;A/634
IZ8SYB;635
IV3BGV;636
IW1ECD;A/637
IW5BOI;A/638
IZ0OSI;639
IZ7SID;640
IZ8IET;A/641
IK0WGD;A/642
IZ8PPJ;A/643
IZ1RFU;A/644
IW0GFS;A/645
F6FNG;A/646
IZ0FUW;A/647
IV3IXN;A/648
IK8RIJ;649
II9ICF;650
IT9DVZ;A/652
IT9JPL;A/653
IT9RDZ;A/654
IZ1PLI;A/655
I8AWN;656
IZ1GDT;A/657
IK0JOS;658
IK1OXG;659
WN6H;660
IZ1RTD;661
IZ8TFA;662
IK5PKF;A/663
IV3BLS;A/664
OH3GZ;A/665
IZ0TBQ;666
IK3JBP;A/668
IW3ILM;A/669
IV3ALF;A/670
IZ0EUS;A/671
IK8CKG;A/672
IN3AEF;A/673
IK2AQZ;A/674
I8PXT;675
DO1TN;A/676
IV3BUC;677
IW3RUA;678
IZ2SOB;A/679
IK5ZUJ;680
IK7IMQ;A/682
IZ3QCH;A/683
IZ8OGR;684
IZ7LDC;A/685
IZ3KJH;A/686
IZ3SZQ;A/687
IK1GKH;A/688
IM0ZKX;689
IZ7UAJ;A/690
IW7EGJ;691
IZ8LLH;A/692
IK8SDA;A/693
IZ0CDM;694
IZ8PPH;695
IK8OFW;696
IK7JGI;A/697
IZ8JBS;698
II9IGJ;700
IW7EBB;A/701
IZ0RFJ;703
IZ1UKT;705
IW6PUY;A/706
IZ8EYN;A/707
IZ8MEW;A/708
IK5GUO;709
IZ7LFP;A/710
IZ0JSE;A/712
IZ0CRQ;A/713
IK8NFA;A/714
IK1VDQ;715
IZ2FLX;A/716
IZ5AHB;A/717
IK1JFZ;718
IZ5RID;A/719
IZ5TJB;A/720
IZ5BRO;A/721
IZ5PFQ;722
I5NIC;723
IS0ANU;A/724
IZ8PRH;A/726
IK8WEJ;727
IZ4UFG;728
IZ0AYM;A/729
I1OOI;730
IK7MXH;731
IZ2QDQ;732
IZ3JQQ;733
IW5CSJ;A/734
IZ0ROW;A/735
IZ8QIN;A/736
