usa-ca
USA Counties
W;KH6;KL
01349;MA,Franklin;-72.505253;42.573700
01350;MA,Franklin;-72.976291;42.712257
01351;MA,Franklin;-72.525220;42.534976
01354;MA,Franklin;-72.6241;42.52217
01355;MA,Franklin;-72.333451;42.485899
01360;MA,Franklin;-72.456498;42.682285
01364;MA,Franklin;-72.292633;42.599614
01366;MA,Worcester;-72.212269;42.474718
01367;MA,Franklin;-72.909620;42.694883
01368;MA,Worcester;-72.169995;42.671012
01369;MA,Franklin;-72.6241;42.52217
01370;MA,Franklin;-72.727549;42.603447
01373;MA,Franklin;-72.624526;42.472734
01375;MA,Franklin;-72.563029;42.449978
01376;MA,Franklin;-72.544385;42.609425
01379;MA,Franklin;-72.417242;42.547274
01380;MA,Franklin;-72.363147;42.594455
01420;MA,Worcester;-71.803383;42.578689
01430;MA,Worcester;-71.932874;42.658768
01431;MA,Middlesex;-71.813707;42.672005
01432;MA,Middlesex;-71.591363;42.549821
01433;MA,Middlesex;-71.6218;42.5324
01436;MA,Worcester;-72.080212;42.608903
01438;MA,Worcester;-72.034980;42.563367
01440;MA,Worcester;-71.991830;42.575355
01450;MA,Middlesex;-71.557221;42.609887
01451;MA,Worcester;-71.588803;42.505928
01452;MA,Worcester;-71.996546;42.477515
01453;MA,Worcester;-71.753582;42.526523
01460;MA,Middlesex;-71.490859;42.540052
01462;MA,Worcester;-71.720510;42.582839
01463;MA,Middlesex;-71.592908;42.665686
01464;MA,Middlesex;-71.645550;42.559289
01467;MA,Worcester;-71.624120;42.488666
01468;MA,Worcester;-72.068248;42.557796
01469;MA,Middlesex;-71.692042;42.658738
01472;MA,Middlesex;-71.4594;42.44639
01473;MA,Worcester;-71.902100;42.544622
01474;MA,Middlesex;-71.745787;42.669408
01475;MA,Worcester;-72.046703;42.675441
01477;MA,Worcester;-71.8968;42.36480
01501;MA,Worcester;-71.838432;42.203610
01503;MA,Worcester;-71.626658;42.380562
01504;MA,Worcester;-71.529990;42.028147
01505;MA,Worcester;-71.730262;42.338392
01506;MA,Worcester;-72.097876;42.200374
01507;MA,Worcester;-71.969617;42.135142
01508;MA,Worcester;-72.0794;42.10974
01509;MA,Worcester;-71.8968;42.36480
01510;MA,Worcester;-71.684820;42.418836
01515;MA,Worcester;-72.053118;42.212777
01516;MA,Worcester;-71.728874;42.061437
01517;MA,Worcester;-71.8968;42.36480
01518;MA,Worcester;-72.123938;42.125150
01519;MA,Worcester;-71.687713;42.201674
01520;MA,Worcester;-71.844349;42.338962
01521;MA,Hampden;-72.161379;42.054676
01522;MA,Worcester;-71.874189;42.369658
01523;MA,Worcester;-71.679466;42.473131
01524;MA,Worcester;-71.919083;42.238942
01525;MA,Worcester;-71.8968;42.36480
01526;MA,Worcester;-71.8968;42.36480
01527;MA,Worcester;-71.762727;42.196144
01529;MA,Worcester;-71.577989;42.036396
01531;MA,Worcester;-72.122489;42.317121
01532;MA,Worcester;-71.646927;42.321917
01534;MA,Worcester;-71.643760;42.140741
01535;MA,Worcester;-72.078232;42.267274
01536;MA,Worcester;-71.705231;42.231444
01537;MA,Worcester;-71.889893;42.170846
01538;MA,Worcester;-71.8968;42.36480
01540;MA,Worcester;-71.865700;42.117527
01541;MA,Worcester;-71.882008;42.451569
01542;MA,Worcester;-71.906517;42.194793
01543;MA,Worcester;-71.964272;42.380877
01545;MA,Worcester;-71.725024;42.286643
01550;MA,Worcester;-72.035334;42.070827
01560;MA,Worcester;-71.693827;42.177462
01561;MA,Worcester;-71.6861;42.44353
01562;MA,Worcester;-71.992273;42.247212
01564;MA,Worcester;-71.773331;42.436875
01566;MA,Worcester;-72.085842;42.104581
01568;MA,Worcester;-71.609710;42.173820
01569;MA,Worcester;-71.629927;42.064978
01570;MA,Worcester;-71.861086;42.047728
01571;MA,Worcester;-71.917303;42.049864
01581;MA,Worcester;-71.614085;42.269845
01583;MA,Worcester;-71.787001;42.359842
01585;MA,Worcester;-72.167347;42.242965
01586;MA,Worcester;-71.8968;42.36480
01588;MA,Worcester;-71.672259;42.114195
01590;MA,Worcester;-71.751218;42.131028
01601;MA,Worcester;-71.8794;42.26527
01602;MA,Worcester;-71.844824;42.272359
01603;MA,Worcester;-71.837766;42.240526
01604;MA,Worcester;-71.774590;42.255393
01605;MA,Worcester;-71.788466;42.286543
01606;MA,Worcester;-71.795312;42.311342
01607;MA,Worcester;-71.795014;42.229543
01608;MA,Worcester;-71.801738;42.261343
01609;MA,Worcester;-71.813486;42.271743
01610;MA,Worcester;-71.807938;42.248493
01611;MA,Worcester;-71.871392;42.238449
01612;MA,Worcester;-71.919294;42.307591
01613;MA,Worcester;-71.8019;42.29331
01614;MA,Worcester;-71.8968;42.36480
01615;MA,Worcester;-71.8968;42.36480
01701;MA,Middlesex;-71.423442;42.318695
01718;MA,Middlesex;-71.427210;42.519739
01719;MA,Middlesex;-71.512440;42.486259
01720;MA,Middlesex;-71.442205;42.477142
01721;MA,Middlesex;-71.458867;42.257956
01730;MA,Middlesex;-71.275046;42.496679
01731;MA,Middlesex;-71.275566;42.459085
01740;MA,Worcester;-71.612667;42.437086
01741;MA,Middlesex;-71.350849;42.528600
01742;MA,Middlesex;-71.374780;42.457201
01745;MA,Worcester;-71.504688;42.295544
01746;MA,Middlesex;-71.437978;42.196065
01747;MA,Worcester;-71.536627;42.125536
01748;MA,Middlesex;-71.534182;42.220447
01749;MA,Middlesex;-71.557914;42.389813
01752;MA,Middlesex;-71.547530;42.350909
01754;MA,Middlesex;-71.455943;42.430781
01756;MA,Worcester;-71.544745;42.092006
01757;MA,Worcester;-71.521498;42.149176
01760;MA,Middlesex;-71.353686;42.290763
01770;MA,Middlesex;-71.372025;42.231025
01772;MA,Worcester;-71.533690;42.297643
01773;MA,Middlesex;-71.303162;42.425537
01775;MA,Middlesex;-71.510862;42.423882
01776;MA,Middlesex;-71.429892;42.385320
01778;MA,Middlesex;-71.356438;42.345583
01784;MA,Middlesex;-71.4594;42.44639
01801;MA,Middlesex;-71.152060;42.484545
01803;MA,Middlesex;-71.200088;42.506362
01810;MA,Essex;-71.151301;42.646942
01821;MA,Middlesex;-71.250547;42.548050
01822;MA,Middlesex;-71.4594;42.44639
01824;MA,Middlesex;-71.354402;42.595491
01826;MA,Middlesex;-71.316006;42.677772
01827;MA,Middlesex;-71.502926;42.671356
01830;MA,Essex;-71.070111;42.785190
01831;MA,Essex;-71.1220;42.77109
01832;MA,Essex;-71.110238;42.781357
01833;MA,Essex;-70.982918;42.729437
01834;MA,Essex;-71.024877;42.750691
01835;MA,Essex;-71.085184;42.757767
01840;MA,Essex;-71.161815;42.706941
01841;MA,Essex;-71.166672;42.711590
01842;MA,Essex;-70.8791;42.63544
01843;MA,Essex;-71.160788;42.691091
01844;MA,Essex;-71.179352;42.730040
01845;MA,Essex;-71.111710;42.683841
01850;MA,Middlesex;-71.305044;42.655791
01851;MA,Middlesex;-71.332380;42.630915
01852;MA,Middlesex;-71.298493;42.634112
01853;MA,Middlesex;-71.4594;42.44639
01854;MA,Middlesex;-71.333486;42.649758
01860;MA,Essex;-71.002074;42.834246
01862;MA,Middlesex;-71.291101;42.573592
01863;MA,Middlesex;-71.393229;42.634199
01864;MA,Middlesex;-71.098208;42.583436
01865;MA,Middlesex;-71.4594;42.44639
01866;MA,Middlesex;-71.4594;42.44639
01867;MA,Middlesex;-71.109939;42.525850
01876;MA,Middlesex;-71.220715;42.601684
01879;MA,Middlesex;-71.416949;42.671589
01880;MA,Middlesex;-71.071324;42.501345
01885;MA,Essex;-70.8791;42.63544
01886;MA,Middlesex;-71.437547;42.592086
01887;MA,Middlesex;-71.170317;42.558576
01888;MA,Middlesex;-71.4594;42.44639
01890;MA,Middlesex;-71.142760;42.451945
01901;MA,Essex;-70.9467;42.46124
01902;MA,Essex;-70.941136;42.469946
01903;MA,Essex;-70.8791;42.63544
01904;MA,Essex;-70.965793;42.490421
01905;MA,Essex;-70.974113;42.464879
01906;MA,Essex;-71.009801;42.462796
01907;MA,Essex;-70.905883;42.474409
01908;MA,Essex;-70.928091;42.427096
01913;MA,Essex;-70.935470;42.854423
01915;MA,Essex;-70.875702;42.560995
01921;MA,Essex;-71.008448;42.677869
01922;MA,Essex;-70.926489;42.760870
01923;MA,Essex;-70.943222;42.569756
01929;MA,Essex;-70.779255;42.631753
01930;MA,Essex;-70.675521;42.624015
01931;MA,Essex;-70.8791;42.63544
01936;MA,Essex;-70.8791;42.63544
01937;MA,Essex;-70.8791;42.63544
01938;MA,Essex;-70.840072;42.682965
01940;MA,Essex;-71.028348;42.527895
01944;MA,Essex;-70.764624;42.580033
01945;MA,Essex;-70.863236;42.497146
01949;MA,Essex;-71.013562;42.602278
01950;MA,Essex;-70.863633;42.809891
01951;MA,Essex;-70.868660;42.780141
01952;MA,Essex;-70.861539;42.850480
01960;MA,Essex;-70.961465;42.534045
01961;MA,Essex;-70.8791;42.63544
01965;MA,Essex;-70.8257;42.55811
01966;MA,Essex;-70.617274;42.659936
01969;MA,Essex;-70.908992;42.716708
01970;MA,Essex;-70.898503;42.516845
01971;MA,Essex;-70.8791;42.63544
01982;MA,Essex;-70.865134;42.616643
01983;MA,Essex;-70.944248;42.642471
01984;MA,Essex;-70.876183;42.600518
01985;MA,Essex;-70.972861;42.790736
02018;MA,Plymouth;-70.7013;41.97047
02019;MA,Norfolk;-71.479533;42.075122
02020;MA,Plymouth;-70.6438;42.08182
02021;MA,Norfolk;-71.134301;42.166776
02025;MA,Norfolk;-70.812239;42.241908
02026;MA,Norfolk;-71.165531;42.244609
02030;MA,Norfolk;-71.282415;42.238880
02031;MA,Bristol;-71.2008;41.99879
02032;MA,Norfolk;-71.213629;42.153912
02035;MA,Norfolk;-71.242325;42.061427
02038;MA,Norfolk;-71.406909;42.089104
02040;MA,Plymouth;-70.7013;41.97047
02041;MA,Plymouth;-70.6490;42.06964
02043;MA,Plymouth;-70.887644;42.225708
02045;MA,Plymouth;-70.876630;42.286347
02047;MA,Plymouth;-70.6935;42.14283
02048;MA,Bristol;-71.219105;42.019982
02050;MA,Plymouth;-70.691729;42.109763
02051;MA,Plymouth;-70.7341;42.15120
02052;MA,Norfolk;-71.304760;42.185571
02053;MA,Norfolk;-71.423158;42.151526
02054;MA,Norfolk;-71.361784;42.166398
02055;MA,Plymouth;-70.7013;41.97047
02056;MA,Norfolk;-71.328559;42.111836
02059;MA,Plymouth;-70.7013;41.97047
02060;MA,Plymouth;-70.7013;41.97047
02061;MA,Plymouth;-70.820508;42.152430
02062;MA,Norfolk;-71.201661;42.185974
02065;MA,Plymouth;-70.6515;42.09721
02066;MA,Plymouth;-70.751306;42.205038
02067;MA,Norfolk;-71.179231;42.113749
02070;MA,Norfolk;-71.0892;42.18004
02071;MA,Norfolk;-71.272392;42.101406
02072;MA,Norfolk;-71.106273;42.125432
02081;MA,Norfolk;-71.253753;42.145237
02090;MA,Norfolk;-71.207350;42.212949
02093;MA,Norfolk;-71.346178;42.059700
02101;MA,Suffolk;-71.0269;42.37056
02102;MA,Suffolk;-70.9196;42.33894
02103;MA,Suffolk;-70.9196;42.33894
02104;MA,Suffolk;-70.9196;42.33894
02105;MA,Suffolk;-70.9196;42.33894
02106;MA,Suffolk;-71.0734;42.35431
02107;MA,Suffolk;-70.9196;42.33894
02108;MA,Suffolk;-71.064087;42.357903
02109;MA,Suffolk;-71.054175;42.361477
02110;MA,Suffolk;-71.053652;42.356532
02111;MA,Suffolk;-71.061012;42.349838
02112;MA,Suffolk;-70.9196;42.33894
02113;MA,Suffolk;-71.056369;42.365028
02114;MA,Suffolk;-71.067746;42.361792
02115;MA,Suffolk;-71.092687;42.343080
02116;MA,Suffolk;-71.073722;42.349622
02117;MA,Suffolk;-70.9196;42.33894
02118;MA,Suffolk;-71.072765;42.338724
02119;MA,Suffolk;-71.084553;42.324511
02120;MA,Suffolk;-71.096516;42.332099
02121;MA,Suffolk;-71.081278;42.307448
02122;MA,Suffolk;-71.054542;42.296298
02123;MA,Suffolk;-70.9196;42.33894
02124;MA,Suffolk;-71.071563;42.287130
02125;MA,Suffolk;-71.058112;42.316852
02126;MA,Suffolk;-71.094267;42.272098
02127;MA,Suffolk;-71.045623;42.334990
02128;MA,Suffolk;-71.025505;42.378297
02129;MA,Suffolk;-71.064950;42.378619
02130;MA,Suffolk;-71.111711;42.309998
02131;MA,Suffolk;-71.130529;42.284678
02132;MA,Suffolk;-71.159801;42.279432
02133;MA,Suffolk;-70.9196;42.33894
02134;MA,Suffolk;-71.131645;42.355147
02135;MA,Suffolk;-71.153496;42.348418
02136;MA,Suffolk;-71.125936;42.252198
02137;MA,Suffolk;-70.9196;42.33894
02138;MA,Middlesex;-71.128031;42.379146
02139;MA,Middlesex;-71.104319;42.364347
02140;MA,Middlesex;-71.128379;42.393327
02141;MA,Middlesex;-71.084434;42.370519
02142;MA,Middlesex;-71.084129;42.362297
02143;MA,Middlesex;-71.099084;42.381929
02144;MA,Middlesex;-71.121658;42.399546
02145;MA,Middlesex;-71.092255;42.390846
02146;MA,Norfolk;-71.0887;42.30819
02147;MA,Norfolk;-71.0892;42.18004
02148;MA,Middlesex;-71.060597;42.428549
02149;MA,Middlesex;-71.052206;42.409916
02150;MA,Suffolk;-71.033529;42.396382
02151;MA,Suffolk;-71.005250;42.416247
02152;MA,Suffolk;-70.978036;42.373047
02153;MA,Middlesex;-71.4594;42.44639
02154;MA,Middlesex;-71.2398;42.38893
02155;MA,Middlesex;-71.109426;42.419846
02156;MA,Middlesex;-71.4594;42.44639
02157;MA,Norfolk;-71.1854;42.17393
02158;MA,Middlesex;-71.1881;42.35369
02159;MA,Middlesex;-71.1912;42.31609
02160;MA,Middlesex;-71.4594;42.44639
02161;MA,Middlesex;-71.4594;42.44639
02162;MA,Middlesex;-71.2540;42.33189
02163;MA,Suffolk;-71.120564;42.367946
02164;MA,Middlesex;-71.4594;42.44639
02165;MA,Middlesex;-71.4594;42.44639
02166;MA,Middlesex;-71.2430;42.34614
02167;MA,Middlesex;-71.1698;42.32079
02168;MA,Middlesex;-71.4594;42.44639
02169;MA,Norfolk;-70.995934;42.250739
02170;MA,Norfolk;-71.018348;42.267049
02171;MA,Norfolk;-71.023163;42.284498
02172;MA,Middlesex;-71.1779;42.37259
02173;MA,Middlesex;-71.4594;42.44639
02174;MA,Middlesex;-71.1670;42.41769
02175;MA,Middlesex;-71.4594;42.44639
02176;MA,Middlesex;-71.062339;42.459045
02177;MA,Middlesex;-71.4594;42.44639
02178;MA,Middlesex;-71.4594;42.44639
02179;MA,Middlesex;-71.4594;42.44639
02180;MA,Middlesex;-71.098352;42.480145
02181;MA,Norfolk;-71.2787;42.30059
02184;MA,Norfolk;-70.999683;42.209555
02186;MA,Norfolk;-71.074966;42.253074
02187;MA,Norfolk;-71.0892;42.18004
02188;MA,Norfolk;-70.958723;42.212866
02189;MA,Norfolk;-70.931118;42.211200
02190;MA,Norfolk;-70.945979;42.171100
02191;MA,Norfolk;-70.944343;42.242749
